"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","4","2.00KXBK-ND","MFR-25FBF52-2K","RES 2K OHM 1% 1/4W AXIAL","R11 R12 R14 R17","4","0","0.10000","0.40"
"2","1","Q1256-ND","3021095-06","CBL USB2.0 A PLUG-MIN B PLUG","","1","0","6.01000","6.01"
"3","2","S9200-ND","SFH11-PBPC-D20-ST-BK","CONN HDR 40POS 0.1 GOLD PCB","","2","0","1.96000","3.92"
"4","2","ASKP01-ND","499712-1","CONN KEYING PLUG BLACK","","2","0","0.21000","0.42"
"5","3","MFR-25FBF52-390R-ND","MFR-25FBF52-390R","RES 390 OHM 1% 1/4W AXIAL","R1 R4 R7","3","0","0.10000","0.30"
"6","4","1.00KXBK-ND","MFR-25FBF52-1K","RES 1K OHM 1% 1/4W AXIAL","R15 R16 R27 R28","4","0","0.10000","0.40"
"7","3","MFR-25FBF52-820R-ND","MFR-25FBF52-820R","RES 820 OHM 1% 1/4W AXIAL","R2 R5 R8","3","0","0.10000","0.30"
"8","2","MFR-25FBF52-6K8-ND","MFR-25FBF52-6K8","RES 6.8K OHM 1% 1/4W AXIAL","R18 R21","2","0","0.10000","0.20"
"9","1","Q1252-ND","QFWC-05-05","AC/DC WALL MOUNT ADAPTER 5V 5W","","1","0","4.82000","4.82"
"10","1","A3DDH-1036G-ND","A3DDH-1036G","IDC CABLE - AKR10H/AE10G/AKR10H","","0","1","3.04000","3.04"
"11","2","MFR-25FBF52-1K2-ND","MFR-25FBF52-1K2","RES 1.2K OHM 1% 1/4W AXIAL","R19 R20","2","0","0.10000","0.20"
"12","1","MFR-25FBF52-680K-ND","MFR-25FBF52-680K","RES 680K OHM 1% 1/4W AXIAL","R13","1","0","0.10000","0.10"
"13","3","MFR-25FBF52-82R-ND","MFR-25FBF52-82R","RES 82 OHM 1% 1/4W AXIAL","R22 R23 R25","3","0","0.10000","0.30"
"14","1","ED10533-ND","302-R101","CONN HEADER R/A 10POS 2.54MM","","1","0","0.53000","0.53"
"15","2","MFR-25FBF52-47R-ND","MFR-25FBF52-47R","RES 47 OHM 1% 1/4W AXIAL","R9 R10","2","0","0.10000","0.20"
"16","1","2223-DS04-254-2-10BK-SMT-ND","DS04-254-2-10BK-SMT","DIP SWITCH, SPST, 2.54 PITCH, FL","","1","0","1.31000","1.31"
"17","2","2057-HD15-SN-25-ND","HD15-SN-25","CONN D-SUB HD RCPT 15P R/A SLDR","","2","0","1.90000","3.80"
"18","1","CP-1403-ND","RCJ-014","CONN RCA JACK MONO 3.2MM R/A","","1","0","0.96000","0.96"
"19","1","S1111EC-03-ND","PRPC003SBAN-M71RC","CONN HEADER R/A 3POS 2.54MM","","1","0","0.12000","0.12"
"20","3","13-MFR-25FTE52-1K8CT-ND","MFR-25FTE52-1K8","RES 1.8K OHM 1% 1/4W AXIAL","R3 R6 R26","3","0","0.10000","0.30"
"21","1","563-1352-1-ND","CL-SB-23A-11T","SWITCH SLIDE DP3T 200MA 12V","","1","0","1.58000","1.58"
"22","2","399-14036-1-ND","C320C104K5R5TA7317","CAP CER 0.1UF 50V X7R RADIAL","C1 C2","2","0","0.22000","0.44"
"23","1","296-47437-1-ND","LM1881MX/NOPB","IC VIDEO SYNC SEPARATOR 8SOIC","","1","0","3.07000","3.07"
"24","1","CKN9548-ND","OS203013MT7QN1","SWITCH SLIDE DPDT 300MA 30V","","1","0","1.07000","1.07"
"25","1","1568-1930-ND","PRT-10368","JUMPER WIRE 0.1"" 3-PIN 6""","","1","0","1.60000","1.60"
"26","1","3006P-103LF-ND","3006P-1-103LF","TRIMMER 10KOHM 0.75W PC PIN SIDE","R24","1","0","2.10000","2.10"
"27","1","P0082-ND","P0082","DE0-NANO EVAL BOARD","","1","0","114.96000","114.96"
